depardieu;gerard;(514) 321-8160;d.gerard@yahoo.com;1978-04-20;resp
roberts;julia;(514) 321-8000;j.roberts@hotmail.com;1991-06-30;resp
bullock;sandra;(514) 300-9660;s.bullock@caramail.com;1985-02-17;part
pitt;brad;(514) 401-5869;brad.pitt@free.ca;1971-12-12;resp
di caprio;leonardo;(438) 500-3121;leonardo_di_caprio@altavista.com;1977-09-19;part
stone;sharon;(514) 621-4477;s.stone@gmail.com;1980-03-03;part
schwarzenegger;arnold;(514) 021-2000;arnold_sch@yahoo.com;1974-01-01;part
hanks;tom;(514) 657-5423;t.hanks@gmail.com;1995-05-03;part
moore;demi;(514) 751-5217;d.moore@hotmail.com;1958-08-09;part
stallone;silvester;(514) 452-6253;ss@yahoo.com;1986-05-05;part
delmas;yves ;(514) 741-2583;delmas@yahoo.fr;1990-01-24;part
mauran;isabelle;(514) 987-1598;isabelle.mauran@gmail.fr;1945-12-07;part
ton ;hoang Mai;(514) 654-8426;hoang_mai@gmail.fr;1967-10-02;part
mourad;rebay;(438) 731-6428;m.rebay@hotmail.fr;1976-03-09;part
